"year","countryCode","species","n_observations","country_name"
1933,"NO","Calidris alba",1,"Norway"
1933,"NO","Calidris minuta",2,"Norway"
1933,"NO","Calidris temminckii",1,"Norway"
1933,"SE","Calidris ferruginea",1,"Sweden"
1933,"SE","Calidris maritima",1,"Sweden"
1934,"NO","Calidris alba",1,"Norway"
1934,"NO","Calidris minuta",2,"Norway"
1935,"NO","Calidris alba",1,"Norway"
1935,"NO","Calidris minuta",2,"Norway"
1935,"NO","Calidris temminckii",1,"Norway"
1935,"SE","Calidris alba",1,"Sweden"
1935,"SE","Calidris ferruginea",1,"Sweden"
1935,"SE","Calidris maritima",2,"Sweden"
1935,"SE","Calidris minuta",2,"Sweden"
1936,"NO","Calidris alba",1,"Norway"
1936,"NO","Calidris ferruginea",2,"Norway"
1936,"NO","Calidris minuta",4,"Norway"
1936,"SE","Calidris minuta",2,"Sweden"
1936,"SE","Calidris temminckii",2,"Sweden"
1937,"NO","Calidris alba",7,"Norway"
1937,"NO","Calidris ferruginea",2,"Norway"
1937,"NO","Calidris minuta",6,"Norway"
1937,"SE","Calidris ferruginea",3,"Sweden"
1937,"SE","Calidris minuta",1,"Sweden"
1937,"SE","Calidris temminckii",2,"Sweden"
1938,"NO","Calidris alba",15,"Norway"
1938,"NO","Calidris ferruginea",10,"Norway"
1938,"NO","Calidris minuta",8,"Norway"
1938,"SE","Calidris ferruginea",1,"Sweden"
1938,"SE","Calidris temminckii",4,"Sweden"
1939,"NO","Calidris alba",45,"Norway"
1939,"NO","Calidris ferruginea",8,"Norway"
1939,"NO","Calidris maritima",6,"Norway"
1939,"NO","Calidris minuta",6,"Norway"
1939,"SE","Calidris alba",1,"Sweden"
1939,"SE","Calidris temminckii",6,"Sweden"
1940,"SE","Calidris temminckii",1,"Sweden"
1941,"SE","Calidris alba",1,"Sweden"
1941,"SE","Calidris temminckii",2,"Sweden"
1942,"SE","Calidris temminckii",2,"Sweden"
1945,"SE","Calidris ferruginea",3,"Sweden"
1946,"NO","Calidris alba",16,"Norway"
1946,"NO","Calidris ferruginea",14,"Norway"
1946,"NO","Calidris minuta",18,"Norway"
1946,"SE","Calidris ferruginea",2,"Sweden"
1947,"NO","Calidris alba",20,"Norway"
1947,"NO","Calidris ferruginea",2,"Norway"
1947,"NO","Calidris minuta",8,"Norway"
1947,"SE","Calidris temminckii",1,"Sweden"
1948,"NO","Calidris alba",44,"Norway"
1948,"NO","Calidris ferruginea",14,"Norway"
1948,"NO","Calidris maritima",2,"Norway"
1948,"NO","Calidris minuta",18,"Norway"
1948,"SE","Calidris alba",3,"Sweden"
1948,"SE","Calidris ferruginea",3,"Sweden"
1948,"SE","Calidris minuta",1,"Sweden"
1948,"SE","Calidris temminckii",5,"Sweden"
1949,"NO","Calidris alba",40,"Norway"
1949,"NO","Calidris ferruginea",20,"Norway"
1949,"NO","Calidris maritima",1,"Norway"
1949,"NO","Calidris minuta",8,"Norway"
1949,"SE","Calidris ferruginea",1,"Sweden"
1949,"SE","Calidris maritima",3,"Sweden"
1949,"SE","Calidris temminckii",1,"Sweden"
1950,"NO","Calidris alba",38,"Norway"
1950,"NO","Calidris alpina",1,"Norway"
1950,"NO","Calidris ferruginea",24,"Norway"
1950,"NO","Calidris maritima",2,"Norway"
1950,"NO","Calidris minuta",20,"Norway"
1950,"NO","Calidris temminckii",1,"Norway"
1950,"SE","Calidris alpina",1,"Sweden"
1950,"SE","Calidris maritima",1,"Sweden"
1950,"SE","Calidris temminckii",2,"Sweden"
1951,"NO","Calidris alba",63,"Norway"
1951,"NO","Calidris ferruginea",32,"Norway"
