"year","countryCode","species","n_observations","country_name"
1977,"NO","Calidris minuta",248,"Norway"
1977,"NO","Calidris temminckii",111,"Norway"
1977,"SE","Calidris alba",127,"Sweden"
1977,"SE","Calidris alpina",8,"Sweden"
1977,"SE","Calidris ferruginea",212,"Sweden"
1977,"SE","Calidris maritima",143,"Sweden"
1977,"SE","Calidris minuta",228,"Sweden"
1977,"SE","Calidris temminckii",292,"Sweden"
1978,"FI","Calidris alba",61,"Finland"
1978,"FI","Calidris alpina",36,"Finland"
1978,"FI","Calidris ferruginea",122,"Finland"
1978,"FI","Calidris maritima",8,"Finland"
1978,"FI","Calidris minuta",707,"Finland"
1978,"FI","Calidris temminckii",70,"Finland"
1978,"NO","Calidris alba",121,"Norway"
1978,"NO","Calidris alpina",2,"Norway"
1978,"NO","Calidris ferruginea",172,"Norway"
1978,"NO","Calidris maritima",107,"Norway"
1978,"NO","Calidris minuta",302,"Norway"
1978,"NO","Calidris temminckii",88,"Norway"
1978,"SE","Calidris alba",222,"Sweden"
1978,"SE","Calidris alpina",7,"Sweden"
1978,"SE","Calidris ferruginea",299,"Sweden"
1978,"SE","Calidris maritima",133,"Sweden"
1978,"SE","Calidris minuta",352,"Sweden"
1978,"SE","Calidris temminckii",250,"Sweden"
1979,"FI","Calidris alba",9,"Finland"
1979,"FI","Calidris alpina",23,"Finland"
1979,"FI","Calidris ferruginea",36,"Finland"
1979,"FI","Calidris maritima",4,"Finland"
1979,"FI","Calidris minuta",101,"Finland"
1979,"FI","Calidris temminckii",154,"Finland"
1979,"NO","Calidris alba",82,"Norway"
1979,"NO","Calidris ferruginea",129,"Norway"
1979,"NO","Calidris maritima",102,"Norway"
1979,"NO","Calidris minuta",244,"Norway"
1979,"NO","Calidris temminckii",88,"Norway"
1979,"SE","Calidris alba",173,"Sweden"
1979,"SE","Calidris alpina",20,"Sweden"
1979,"SE","Calidris ferruginea",243,"Sweden"
1979,"SE","Calidris maritima",75,"Sweden"
1979,"SE","Calidris minuta",269,"Sweden"
1979,"SE","Calidris temminckii",216,"Sweden"
1980,"FI","Calidris alba",10,"Finland"
1980,"FI","Calidris alpina",27,"Finland"
1980,"FI","Calidris ferruginea",26,"Finland"
1980,"FI","Calidris maritima",2,"Finland"
1980,"FI","Calidris minuta",46,"Finland"
1980,"FI","Calidris temminckii",98,"Finland"
1980,"NO","Calidris alba",41,"Norway"
1980,"NO","Calidris ferruginea",130,"Norway"
1980,"NO","Calidris maritima",102,"Norway"
1980,"NO","Calidris minuta",301,"Norway"
1980,"NO","Calidris temminckii",163,"Norway"
1980,"SE","Calidris alba",144,"Sweden"
1980,"SE","Calidris alpina",19,"Sweden"
1980,"SE","Calidris ferruginea",232,"Sweden"
1980,"SE","Calidris maritima",228,"Sweden"
1980,"SE","Calidris minuta",323,"Sweden"
1980,"SE","Calidris temminckii",344,"Sweden"
1981,"FI","Calidris alba",19,"Finland"
1981,"FI","Calidris alpina",11,"Finland"
1981,"FI","Calidris ferruginea",68,"Finland"
1981,"FI","Calidris maritima",1,"Finland"
1981,"FI","Calidris minuta",163,"Finland"
1981,"FI","Calidris temminckii",88,"Finland"
1981,"NO","Calidris alba",67,"Norway"
1981,"NO","Calidris ferruginea",81,"Norway"
1981,"NO","Calidris maritima",93,"Norway"
1981,"NO","Calidris minuta",267,"Norway"
1981,"NO","Calidris temminckii",153,"Norway"
1981,"SE","Calidris alba",293,"Sweden"
1981,"SE","Calidris alpina",12,"Sweden"
1981,"SE","Calidris ferruginea",332,"Sweden"
1981,"SE","Calidris maritima",261,"Sweden"
1981,"SE","Calidris minuta",485,"Sweden"
1981,"SE","Calidris temminckii",351,"Sweden"
1982,"FI","Calidris alba",24,"Finland"
1982,"FI","Calidris alpina",8,"Finland"
1982,"FI","Calidris ferruginea",123,"Finland"
1982,"FI","Calidris maritima",1,"Finland"
1982,"FI","Calidris minuta",57,"Finland"
1982,"FI","Calidris temminckii",82,"Finland"
1982,"NO","Calidris alba",109,"Norway"
1982,"NO","Calidris ferruginea",180,"Norway"
1982,"NO","Calidris maritima",148,"Norway"
1982,"NO","Calidris minuta",218,"Norway"
1982,"NO","Calidris temminckii",152,"Norway"
1982,"SE","Calidris alba",236,"Sweden"
1982,"SE","Calidris alpina",23,"Sweden"
1982,"SE","Calidris ferruginea",261,"Sweden"
1982,"SE","Calidris maritima",140,"Sweden"
1982,"SE","Calidris minuta",284,"Sweden"
1982,"SE","Calidris temminckii",357,"Sweden"
1983,"FI","Calidris alba",27,"Finland"
1983,"FI","Calidris alpina",10,"Finland"
1983,"FI","Calidris ferruginea",44,"Finland"
1983,"FI","Calidris maritima",17,"Finland"
1983,"FI","Calidris minuta",40,"Finland"
1983,"FI","Calidris temminckii",114,"Finland"
1983,"NO","Calidris alba",113,"Norway"
1983,"NO","Calidris alpina",1,"Norway"
1983,"NO","Calidris ferruginea",117,"Norway"
1983,"NO","Calidris maritima",108,"Norway"
1983,"NO","Calidris minuta",308,"Norway"
1983,"NO","Calidris temminckii",109,"Norway"
1983,"SE","Calidris alba",215,"Sweden"
1983,"SE","Calidris alpina",14,"Sweden"
1983,"SE","Calidris ferruginea",178,"Sweden"
1983,"SE","Calidris maritima",171,"Sweden"
1983,"SE","Calidris minuta",404,"Sweden"
1983,"SE","Calidris temminckii",305,"Sweden"
1984,"FI","Calidris alba",25,"Finland"
1984,"FI","Calidris alpina",212,"Finland"
1984,"FI","Calidris ferruginea",54,"Finland"
1984,"FI","Calidris maritima",10,"Finland"
1984,"FI","Calidris minuta",75,"Finland"
1984,"FI","Calidris temminckii",68,"Finland"
1984,"NO","Calidris alba",137,"Norway"
1984,"NO","Calidris alpina",2,"Norway"
1984,"NO","Calidris ferruginea",149,"Norway"
1984,"NO","Calidris maritima",120,"Norway"
1984,"NO","Calidris minuta",284,"Norway"
1984,"NO","Calidris temminckii",127,"Norway"
1984,"SE","Calidris alba",271,"Sweden"
1984,"SE","Calidris alpina",14,"Sweden"
1984,"SE","Calidris ferruginea",288,"Sweden"
1984,"SE","Calidris maritima",210,"Sweden"
1984,"SE","Calidris minuta",352,"Sweden"
1984,"SE","Calidris temminckii",284,"Sweden"
1985,"FI","Calidris alba",11,"Finland"
1985,"FI","Calidris alpina",901,"Finland"
1985,"FI","Calidris ferruginea",72,"Finland"
1985,"FI","Calidris maritima",1,"Finland"
1985,"FI","Calidris minuta",110,"Finland"
1985,"FI","Calidris temminckii",89,"Finland"
1985,"NO","Calidris alba",57,"Norway"
1985,"NO","Calidris alpina",1,"Norway"
1985,"NO","Calidris ferruginea",171,"Norway"
1985,"NO","Calidris maritima",117,"Norway"
1985,"NO","Calidris minuta",257,"Norway"
1985,"NO","Calidris temminckii",131,"Norway"
1985,"SE","Calidris alba",264,"Sweden"
1985,"SE","Calidris alpina",8,"Sweden"
1985,"SE","Calidris ferruginea",371,"Sweden"
1985,"SE","Calidris maritima",223,"Sweden"
1985,"SE","Calidris minuta",403,"Sweden"
1985,"SE","Calidris temminckii",399,"Sweden"
1986,"FI","Calidris alba",3,"Finland"
1986,"FI","Calidris alpina",8,"Finland"
1986,"FI","Calidris ferruginea",44,"Finland"
1986,"FI","Calidris maritima",4,"Finland"
1986,"FI","Calidris minuta",145,"Finland"
1986,"FI","Calidris temminckii",100,"Finland"
1986,"NO","Calidris alba",139,"Norway"
1986,"NO","Calidris ferruginea",103,"Norway"
1986,"NO","Calidris maritima",142,"Norway"
1986,"NO","Calidris minuta",316,"Norway"
1986,"NO","Calidris temminckii",114,"Norway"
1986,"SE","Calidris alba",277,"Sweden"
1986,"SE","Calidris alpina",14,"Sweden"
1986,"SE","Calidris ferruginea",307,"Sweden"
1986,"SE","Calidris maritima",262,"Sweden"
1986,"SE","Calidris minuta",428,"Sweden"
1986,"SE","Calidris temminckii",392,"Sweden"
1987,"FI","Calidris alba",8,"Finland"
1987,"FI","Calidris alpina",104,"Finland"
1987,"FI","Calidris ferruginea",42,"Finland"
1987,"FI","Calidris minuta",117,"Finland"
1987,"FI","Calidris temminckii",72,"Finland"
1987,"NO","Calidris alba",162,"Norway"
1987,"NO","Calidris ferruginea",160,"Norway"
1987,"NO","Calidris maritima",115,"Norway"
1987,"NO","Calidris minuta",287,"Norway"
1987,"NO","Calidris temminckii",177,"Norway"
1987,"SE","Calidris alba",278,"Sweden"
1987,"SE","Calidris alpina",26,"Sweden"
1987,"SE","Calidris ferruginea",417,"Sweden"
1987,"SE","Calidris maritima",168,"Sweden"
1987,"SE","Calidris minuta",377,"Sweden"
1987,"SE","Calidris temminckii",611,"Sweden"
1988,"FI","Calidris alba",5,"Finland"
1988,"FI","Calidris alpina",75,"Finland"
1988,"FI","Calidris ferruginea",117,"Finland"
1988,"FI","Calidris maritima",4,"Finland"
1988,"FI","Calidris minuta",616,"Finland"
1988,"FI","Calidris temminckii",136,"Finland"
1988,"NO","Calidris alba",104,"Norway"
1988,"NO","Calidris alpina",1,"Norway"
1988,"NO","Calidris ferruginea",327,"Norway"
1988,"NO","Calidris maritima",177,"Norway"
1988,"NO","Calidris minuta",298,"Norway"
1988,"NO","Calidris temminckii",116,"Norway"
1988,"SE","Calidris alba",190,"Sweden"
1988,"SE","Calidris alpina",24,"Sweden"
1988,"SE","Calidris ferruginea",578,"Sweden"
1988,"SE","Calidris maritima",80,"Sweden"
1988,"SE","Calidris minuta",601,"Sweden"
1988,"SE","Calidris temminckii",457,"Sweden"
1989,"FI","Calidris alba",3,"Finland"
1989,"FI","Calidris alpina",75,"Finland"
1989,"FI","Calidris ferruginea",29,"Finland"
1989,"FI","Calidris minuta",86,"Finland"
1989,"FI","Calidris temminckii",149,"Finland"
1989,"NO","Calidris alba",85,"Norway"
1989,"NO","Calidris ferruginea",33,"Norway"
1989,"NO","Calidris maritima",157,"Norway"
1989,"NO","Calidris minuta",251,"Norway"
1989,"NO","Calidris temminckii",79,"Norway"
1989,"SE","Calidris alba",288,"Sweden"
1989,"SE","Calidris alpina",27,"Sweden"
1989,"SE","Calidris ferruginea",365,"Sweden"
1989,"SE","Calidris maritima",226,"Sweden"
1989,"SE","Calidris minuta",419,"Sweden"
1989,"SE","Calidris temminckii",406,"Sweden"
1990,"FI","Calidris alba",8,"Finland"
1990,"FI","Calidris alpina",76,"Finland"
1990,"FI","Calidris ferruginea",142,"Finland"
1990,"FI","Calidris maritima",2,"Finland"
1990,"FI","Calidris minuta",555,"Finland"
1990,"FI","Calidris temminckii",209,"Finland"
1990,"NO","Calidris alba",114,"Norway"
1990,"NO","Calidris alpina",1,"Norway"
1990,"NO","Calidris ferruginea",278,"Norway"
1990,"NO","Calidris maritima",145,"Norway"
1990,"NO","Calidris minuta",361,"Norway"
1990,"NO","Calidris temminckii",136,"Norway"
1990,"SE","Calidris alba",287,"Sweden"
1990,"SE","Calidris alpina",62,"Sweden"
1990,"SE","Calidris ferruginea",758,"Sweden"
1990,"SE","Calidris maritima",204,"Sweden"
1990,"SE","Calidris minuta",892,"Sweden"
1990,"SE","Calidris temminckii",477,"Sweden"
1991,"FI","Calidris alba",3,"Finland"
1991,"FI","Calidris alpina",25,"Finland"
1991,"FI","Calidris ferruginea",149,"Finland"
1991,"FI","Calidris maritima",5,"Finland"
1991,"FI","Calidris minuta",985,"Finland"
1991,"FI","Calidris temminckii",139,"Finland"
1991,"NO","Calidris alba",101,"Norway"
1991,"NO","Calidris alpina",1,"Norway"
1991,"NO","Calidris ferruginea",160,"Norway"
1991,"NO","Calidris maritima",139,"Norway"
1991,"NO","Calidris minuta",250,"Norway"
1991,"NO","Calidris temminckii",112,"Norway"
1991,"SE","Calidris alba",237,"Sweden"
1991,"SE","Calidris alpina",65,"Sweden"
1991,"SE","Calidris ferruginea",520,"Sweden"
1991,"SE","Calidris maritima",297,"Sweden"
1991,"SE","Calidris minuta",508,"Sweden"
1991,"SE","Calidris temminckii",441,"Sweden"
1992,"FI","Calidris alba",2,"Finland"
1992,"FI","Calidris alpina",102,"Finland"
1992,"FI","Calidris ferruginea",180,"Finland"
1992,"FI","Calidris maritima",2,"Finland"
1992,"FI","Calidris minuta",244,"Finland"
1992,"FI","Calidris temminckii",158,"Finland"
1992,"NO","Calidris alba",62,"Norway"
1992,"NO","Calidris ferruginea",80,"Norway"
1992,"NO","Calidris maritima",128,"Norway"
1992,"NO","Calidris minuta",171,"Norway"
1992,"NO","Calidris temminckii",102,"Norway"
1992,"SE","Calidris alba",326,"Sweden"
1992,"SE","Calidris alpina",62,"Sweden"
1992,"SE","Calidris ferruginea",734,"Sweden"
1992,"SE","Calidris maritima",238,"Sweden"
1992,"SE","Calidris minuta",593,"Sweden"
1992,"SE","Calidris temminckii",485,"Sweden"
1993,"FI","Calidris alba",8,"Finland"
1993,"FI","Calidris alpina",150,"Finland"
1993,"FI","Calidris ferruginea",181,"Finland"
1993,"FI","Calidris maritima",2,"Finland"
1993,"FI","Calidris minuta",743,"Finland"
1993,"FI","Calidris temminckii",223,"Finland"
1993,"NO","Calidris alba",128,"Norway"
1993,"NO","Calidris alpina",2,"Norway"
1993,"NO","Calidris ferruginea",230,"Norway"
1993,"NO","Calidris maritima",119,"Norway"
1993,"NO","Calidris minuta",264,"Norway"
1993,"NO","Calidris temminckii",124,"Norway"
1993,"SE","Calidris alba",353,"Sweden"
1993,"SE","Calidris alpina",85,"Sweden"
1993,"SE","Calidris ferruginea",933,"Sweden"
1993,"SE","Calidris maritima",248,"Sweden"
1993,"SE","Calidris minuta",681,"Sweden"
1993,"SE","Calidris temminckii",528,"Sweden"
1994,"FI","Calidris alba",6,"Finland"
1994,"FI","Calidris alpina",109,"Finland"
1994,"FI","Calidris ferruginea",54,"Finland"
1994,"FI","Calidris minuta",304,"Finland"
1994,"FI","Calidris temminckii",274,"Finland"
1994,"NO","Calidris alba",120,"Norway"
1994,"NO","Calidris ferruginea",111,"Norway"
1994,"NO","Calidris maritima",125,"Norway"
1994,"NO","Calidris minuta",184,"Norway"
1994,"NO","Calidris temminckii",112,"Norway"
1994,"SE","Calidris alba",189,"Sweden"
1994,"SE","Calidris alpina",173,"Sweden"
1994,"SE","Calidris ferruginea",526,"Sweden"
1994,"SE","Calidris maritima",188,"Sweden"
1994,"SE","Calidris minuta",500,"Sweden"
1994,"SE","Calidris temminckii",645,"Sweden"
1995,"FI","Calidris alba",4,"Finland"
1995,"FI","Calidris alpina",41,"Finland"
1995,"FI","Calidris ferruginea",33,"Finland"
1995,"FI","Calidris maritima",4,"Finland"
1995,"FI","Calidris minuta",110,"Finland"
1995,"FI","Calidris temminckii",269,"Finland"
1995,"NO","Calidris alba",116,"Norway"
1995,"NO","Calidris ferruginea",92,"Norway"
1995,"NO","Calidris maritima",96,"Norway"
1995,"NO","Calidris minuta",185,"Norway"
1995,"NO","Calidris temminckii",130,"Norway"
1995,"SE","Calidris alba",242,"Sweden"
1995,"SE","Calidris alpina",76,"Sweden"
1995,"SE","Calidris ferruginea",517,"Sweden"
1995,"SE","Calidris maritima",155,"Sweden"
1995,"SE","Calidris minuta",657,"Sweden"
1995,"SE","Calidris temminckii",617,"Sweden"
1996,"FI","Calidris alba",9,"Finland"
1996,"FI","Calidris alpina",67,"Finland"
1996,"FI","Calidris ferruginea",61,"Finland"
1996,"FI","Calidris maritima",6,"Finland"
1996,"FI","Calidris minuta",685,"Finland"
1996,"FI","Calidris temminckii",181,"Finland"
1996,"NO","Calidris alba",143,"Norway"
1996,"NO","Calidris ferruginea",124,"Norway"
1996,"NO","Calidris maritima",88,"Norway"
1996,"NO","Calidris minuta",327,"Norway"
1996,"NO","Calidris temminckii",113,"Norway"
1996,"SE","Calidris alba",239,"Sweden"
1996,"SE","Calidris alpina",59,"Sweden"
1996,"SE","Calidris ferruginea",571,"Sweden"
1996,"SE","Calidris maritima",415,"Sweden"
1996,"SE","Calidris minuta",887,"Sweden"
1996,"SE","Calidris temminckii",732,"Sweden"
1997,"FI","Calidris alba",14,"Finland"
1997,"FI","Calidris alpina",47,"Finland"
1997,"FI","Calidris ferruginea",68,"Finland"
1997,"FI","Calidris maritima",1,"Finland"
1997,"FI","Calidris minuta",186,"Finland"
1997,"FI","Calidris temminckii",363,"Finland"
1997,"NO","Calidris alba",164,"Norway"
1997,"NO","Calidris ferruginea",130,"Norway"
1997,"NO","Calidris maritima",182,"Norway"
1997,"NO","Calidris minuta",169,"Norway"
1997,"NO","Calidris temminckii",165,"Norway"
1997,"SE","Calidris alba",314,"Sweden"
1997,"SE","Calidris alpina",45,"Sweden"
1997,"SE","Calidris ferruginea",496,"Sweden"
1997,"SE","Calidris maritima",311,"Sweden"
1997,"SE","Calidris minuta",518,"Sweden"
1997,"SE","Calidris temminckii",768,"Sweden"
1998,"FI","Calidris alba",6,"Finland"
1998,"FI","Calidris alpina",27,"Finland"
1998,"FI","Calidris ferruginea",91,"Finland"
1998,"FI","Calidris maritima",3,"Finland"
1998,"FI","Calidris minuta",282,"Finland"
1998,"FI","Calidris temminckii",141,"Finland"
1998,"NO","Calidris alba",122,"Norway"
1998,"NO","Calidris alpina",4,"Norway"
1998,"NO","Calidris ferruginea",239,"Norway"
1998,"NO","Calidris maritima",186,"Norway"
1998,"NO","Calidris minuta",372,"Norway"
1998,"NO","Calidris temminckii",111,"Norway"
1998,"SE","Calidris alba",347,"Sweden"
1998,"SE","Calidris alpina",58,"Sweden"
1998,"SE","Calidris ferruginea",1103,"Sweden"
1998,"SE","Calidris maritima",314,"Sweden"
1998,"SE","Calidris minuta",1288,"Sweden"
1998,"SE","Calidris temminckii",846,"Sweden"
1999,"FI","Calidris alba",1,"Finland"
1999,"FI","Calidris alpina",37,"Finland"
1999,"FI","Calidris ferruginea",26,"Finland"
1999,"FI","Calidris maritima",3,"Finland"
1999,"FI","Calidris minuta",127,"Finland"
1999,"FI","Calidris temminckii",279,"Finland"
1999,"NO","Calidris alba",135,"Norway"
1999,"NO","Calidris ferruginea",260,"Norway"
1999,"NO","Calidris maritima",231,"Norway"
1999,"NO","Calidris minuta",245,"Norway"
1999,"NO","Calidris temminckii",199,"Norway"
1999,"SE","Calidris alba",315,"Sweden"
1999,"SE","Calidris alpina",80,"Sweden"
1999,"SE","Calidris ferruginea",1484,"Sweden"
1999,"SE","Calidris maritima",352,"Sweden"
1999,"SE","Calidris minuta",784,"Sweden"
1999,"SE","Calidris temminckii",838,"Sweden"
2000,"FI","Calidris alba",7,"Finland"
2000,"FI","Calidris alpina",43,"Finland"
2000,"FI","Calidris ferruginea",12,"Finland"
2000,"FI","Calidris maritima",4,"Finland"
2000,"FI","Calidris minuta",22,"Finland"
2000,"FI","Calidris temminckii",126,"Finland"
2000,"NO","Calidris alba",153,"Norway"
2000,"NO","Calidris ferruginea",210,"Norway"
2000,"NO","Calidris maritima",260,"Norway"
2000,"NO","Calidris minuta",266,"Norway"
2000,"NO","Calidris temminckii",259,"Norway"
2000,"SE","Calidris alba",497,"Sweden"
2000,"SE","Calidris alpina",389,"Sweden"
2000,"SE","Calidris ferruginea",1267,"Sweden"
2000,"SE","Calidris maritima",350,"Sweden"
2000,"SE","Calidris minuta",813,"Sweden"
2000,"SE","Calidris temminckii",1083,"Sweden"
2001,"FI","Calidris alba",6,"Finland"
2001,"FI","Calidris alpina",3,"Finland"
2001,"FI","Calidris ferruginea",67,"Finland"
2001,"FI","Calidris maritima",1,"Finland"
2001,"FI","Calidris minuta",165,"Finland"
2001,"FI","Calidris temminckii",142,"Finland"
2001,"NO","Calidris alba",170,"Norway"
2001,"NO","Calidris ferruginea",340,"Norway"
2001,"NO","Calidris maritima",195,"Norway"
2001,"NO","Calidris minuta",345,"Norway"
2001,"NO","Calidris temminckii",257,"Norway"
2001,"SE","Calidris alba",854,"Sweden"
2001,"SE","Calidris alpina",420,"Sweden"
2001,"SE","Calidris ferruginea",2203,"Sweden"
2001,"SE","Calidris maritima",474,"Sweden"
2001,"SE","Calidris minuta",1517,"Sweden"
2001,"SE","Calidris temminckii",1904,"Sweden"
2002,"FI","Calidris alba",15,"Finland"
2002,"FI","Calidris alpina",60,"Finland"
2002,"FI","Calidris ferruginea",48,"Finland"
2002,"FI","Calidris maritima",18,"Finland"
2002,"FI","Calidris minuta",48,"Finland"
2002,"FI","Calidris temminckii",288,"Finland"
2002,"NO","Calidris alba",193,"Norway"
2002,"NO","Calidris ferruginea",183,"Norway"
2002,"NO","Calidris maritima",242,"Norway"
2002,"NO","Calidris minuta",247,"Norway"
2002,"NO","Calidris temminckii",266,"Norway"
2002,"SE","Calidris alba",963,"Sweden"
2002,"SE","Calidris alpina",334,"Sweden"
2002,"SE","Calidris ferruginea",1518,"Sweden"
2002,"SE","Calidris maritima",714,"Sweden"
2002,"SE","Calidris minuta",1348,"Sweden"
2002,"SE","Calidris temminckii",2119,"Sweden"
2003,"FI","Calidris alba",4,"Finland"
2003,"FI","Calidris alpina",95,"Finland"
2003,"FI","Calidris ferruginea",21,"Finland"
2003,"FI","Calidris maritima",4,"Finland"
2003,"FI","Calidris minuta",21,"Finland"
2003,"FI","Calidris temminckii",253,"Finland"
2003,"NO","Calidris alba",267,"Norway"
2003,"NO","Calidris alpina",8,"Norway"
2003,"NO","Calidris ferruginea",175,"Norway"
2003,"NO","Calidris maritima",316,"Norway"
2003,"NO","Calidris minuta",225,"Norway"
2003,"NO","Calidris temminckii",288,"Norway"
2003,"SE","Calidris alba",1271,"Sweden"
2003,"SE","Calidris alpina",152,"Sweden"
2003,"SE","Calidris ferruginea",2081,"Sweden"
2003,"SE","Calidris maritima",1146,"Sweden"
2003,"SE","Calidris minuta",1513,"Sweden"
2003,"SE","Calidris temminckii",2911,"Sweden"
2004,"FI","Calidris alba",16,"Finland"
2004,"FI","Calidris alpina",64,"Finland"
2004,"FI","Calidris ferruginea",49,"Finland"
2004,"FI","Calidris maritima",8,"Finland"
2004,"FI","Calidris minuta",48,"Finland"
2004,"FI","Calidris temminckii",251,"Finland"
2004,"NO","Calidris alba",299,"Norway"
2004,"NO","Calidris ferruginea",277,"Norway"
2004,"NO","Calidris maritima",314,"Norway"
2004,"NO","Calidris minuta",414,"Norway"
2004,"NO","Calidris temminckii",272,"Norway"
2004,"SE","Calidris alba",1632,"Sweden"
2004,"SE","Calidris alpina",125,"Sweden"
2004,"SE","Calidris ferruginea",3531,"Sweden"
2004,"SE","Calidris maritima",1065,"Sweden"
2004,"SE","Calidris minuta",2888,"Sweden"
2004,"SE","Calidris temminckii",3986,"Sweden"
2005,"FI","Calidris alba",12,"Finland"
2005,"FI","Calidris alpina",148,"Finland"
2005,"FI","Calidris ferruginea",38,"Finland"
2005,"FI","Calidris maritima",16,"Finland"
2005,"FI","Calidris minuta",23,"Finland"
2005,"FI","Calidris temminckii",257,"Finland"
2005,"NO","Calidris alba",281,"Norway"
2005,"NO","Calidris ferruginea",263,"Norway"
2005,"NO","Calidris maritima",313,"Norway"
2005,"NO","Calidris minuta",242,"Norway"
2005,"NO","Calidris temminckii",316,"Norway"
2005,"SE","Calidris alba",1681,"Sweden"
2005,"SE","Calidris alpina",112,"Sweden"
2005,"SE","Calidris ferruginea",3323,"Sweden"
2005,"SE","Calidris maritima",993,"Sweden"
2005,"SE","Calidris minuta",2309,"Sweden"
2005,"SE","Calidris temminckii",4308,"Sweden"
2006,"FI","Calidris alba",12,"Finland"
2006,"FI","Calidris alpina",176,"Finland"
2006,"FI","Calidris ferruginea",33,"Finland"
2006,"FI","Calidris maritima",17,"Finland"
2006,"FI","Calidris minuta",59,"Finland"
2006,"FI","Calidris temminckii",306,"Finland"
2006,"NO","Calidris alba",220,"Norway"
2006,"NO","Calidris ferruginea",152,"Norway"
2006,"NO","Calidris maritima",332,"Norway"
2006,"NO","Calidris minuta",312,"Norway"
2006,"NO","Calidris temminckii",287,"Norway"
2006,"SE","Calidris alba",1559,"Sweden"
2006,"SE","Calidris alpina",205,"Sweden"
2006,"SE","Calidris ferruginea",2689,"Sweden"
2006,"SE","Calidris maritima",1108,"Sweden"
2006,"SE","Calidris minuta",3062,"Sweden"
2006,"SE","Calidris temminckii",3953,"Sweden"
2007,"FI","Calidris alba",11,"Finland"
2007,"FI","Calidris alpina",211,"Finland"
2007,"FI","Calidris ferruginea",48,"Finland"
2007,"FI","Calidris maritima",8,"Finland"
2007,"FI","Calidris minuta",34,"Finland"
2007,"FI","Calidris temminckii",413,"Finland"
2007,"NO","Calidris alba",236,"Norway"
2007,"NO","Calidris ferruginea",261,"Norway"
2007,"NO","Calidris maritima",344,"Norway"
2007,"NO","Calidris minuta",341,"Norway"
2007,"NO","Calidris temminckii",297,"Norway"
2007,"SE","Calidris alba",1985,"Sweden"
2007,"SE","Calidris alpina",331,"Sweden"
2007,"SE","Calidris ferruginea",4956,"Sweden"
2007,"SE","Calidris maritima",1346,"Sweden"
2007,"SE","Calidris minuta",3654,"Sweden"
2007,"SE","Calidris temminckii",4260,"Sweden"
2008,"FI","Calidris alba",8,"Finland"
2008,"FI","Calidris alpina",210,"Finland"
2008,"FI","Calidris ferruginea",22,"Finland"
2008,"FI","Calidris maritima",20,"Finland"
2008,"FI","Calidris minuta",24,"Finland"
2008,"FI","Calidris temminckii",175,"Finland"
2008,"NO","Calidris alba",530,"Norway"
2008,"NO","Calidris ferruginea",359,"Norway"
2008,"NO","Calidris maritima",579,"Norway"
2008,"NO","Calidris minuta",621,"Norway"
2008,"NO","Calidris temminckii",520,"Norway"
2008,"SE","Calidris alba",1682,"Sweden"
2008,"SE","Calidris alpina",298,"Sweden"
2008,"SE","Calidris ferruginea",3693,"Sweden"
2008,"SE","Calidris maritima",1438,"Sweden"
2008,"SE","Calidris minuta",2886,"Sweden"
2008,"SE","Calidris temminckii",4450,"Sweden"
2009,"FI","Calidris alba",19,"Finland"
2009,"FI","Calidris alpina",184,"Finland"
2009,"FI","Calidris ferruginea",54,"Finland"
2009,"FI","Calidris maritima",12,"Finland"
2009,"FI","Calidris minuta",22,"Finland"
2009,"FI","Calidris temminckii",237,"Finland"
2009,"NO","Calidris alba",766,"Norway"
2009,"NO","Calidris ferruginea",716,"Norway"
2009,"NO","Calidris maritima",1083,"Norway"
2009,"NO","Calidris minuta",616,"Norway"
2009,"NO","Calidris temminckii",754,"Norway"
2009,"SE","Calidris alba",1979,"Sweden"
2009,"SE","Calidris alpina",255,"Sweden"
2009,"SE","Calidris ferruginea",5020,"Sweden"
2009,"SE","Calidris maritima",1371,"Sweden"
2009,"SE","Calidris minuta",2100,"Sweden"
2009,"SE","Calidris temminckii",3805,"Sweden"
2010,"FI","Calidris alba",6,"Finland"
2010,"FI","Calidris alpina",257,"Finland"
2010,"FI","Calidris ferruginea",50,"Finland"
2010,"FI","Calidris maritima",15,"Finland"
2010,"FI","Calidris minuta",31,"Finland"
2010,"FI","Calidris temminckii",203,"Finland"
2010,"NO","Calidris alba",760,"Norway"
2010,"NO","Calidris ferruginea",666,"Norway"
2010,"NO","Calidris maritima",1283,"Norway"
2010,"NO","Calidris minuta",900,"Norway"
2010,"NO","Calidris temminckii",816,"Norway"
2010,"SE","Calidris alba",1712,"Sweden"
2010,"SE","Calidris alpina",280,"Sweden"
2010,"SE","Calidris ferruginea",4528,"Sweden"
2010,"SE","Calidris maritima",1850,"Sweden"
2010,"SE","Calidris minuta",2785,"Sweden"
2010,"SE","Calidris temminckii",4306,"Sweden"
2011,"FI","Calidris alba",8,"Finland"
2011,"FI","Calidris alpina",358,"Finland"
2011,"FI","Calidris ferruginea",64,"Finland"
2011,"FI","Calidris maritima",29,"Finland"
2011,"FI","Calidris minuta",43,"Finland"
2011,"FI","Calidris temminckii",119,"Finland"
2011,"NO","Calidris alba",756,"Norway"
2011,"NO","Calidris alpina",1,"Norway"
2011,"NO","Calidris ferruginea",1027,"Norway"
2011,"NO","Calidris maritima",1669,"Norway"
2011,"NO","Calidris minuta",1291,"Norway"
